Model,MPG,Weight
2003 Volkswagen Jetta Sedan GL 2.0 Current,24,2.9185
2003 Volkswagen GTI 1.8T Current,24,2.9915
2003 Volkswagen Passat GL Sedan Current,22,3.267
2003 Volkswagen Eurovan GLS Current,17,4.288
2004 Volkswagen Touareg V6 Current,15,5.086
2004 Volvo S40 Sedan Current,22,2.767
2004 Volvo V40 Wagon Current,22,2.822
2004 Volvo S60 2.4 Current,22,3.276
2004 Volvo V70 2.4 Current,22,3.488
2004 Volvo XC70 Cross Country Current,19,3.699
2004 Volvo S80 2.9 Current,20,3.583
2004 Volvo C70 LPT Current,18,3.45
2004 Volvo XC90 2.5T Current,18,4.354
